本科二批,A02,上海杉达学院（民办）,01,金融学,非定向,1,369,1,4,29000,无,录取新生就读校区为一年级在嘉善校区，其他学期在金海校区。
本科二批,479,桂林航天工业学院,01,人力资源管理,非定向,2,379,2,4,4600,无,无
本科二批,395,黄河科技学院（民办）,01,金融学,非定向,2,346,3,4,15000,郑州校区,无
本科二批,707,湖南医药学院,01,临床医学,非定向,3,476,3,5,7150,西校区,无
本科二批,836,吉林建筑科技学院（民办）,01,建筑学,非定向,3,340,3,5,14400,无,无
本科二批,K62,华南理工大学广州学院（独立学院）,01,车辆工程（智能汽车，新能源汽车，汽车设计与制造）,非定向,10,337,9,4,26000,校本部,无
本科二批,100,南京工程学院,01,机械设计制造及其自动化,非定向,2,464,2,4,5800,无,无
本科二批,D84,山东财经大学燕山学院（独立学院）,01,金融学类,非定向,3,437,2,4,19000,莱芜校区,包含专业：金融学、投资学、互联网金融
本科二批,A33,云南大学旅游文化学院（独立学院）,01,经济学,非定向,3,439,2,4,18500,丽江市,无
本科二批,227,南昌工学院（民办）,01,会计学,非定向,2,437,1,4,25900,无,无
本科二批,K67,四川外国语大学成都学院（独立学院）,01,英语,非定向,1,481,2,4,17000,成都校区,无
本科二批,E14,天津大学仁爱学院（独立学院）,01,英语,非定向,2,396,2,4,18000,校本部,无
本科二批,A05,天津外国语大学滨海外事学院（独立学院）,01,英语,非定向,1,491,1,4,18000,校本部,无
本科二批,973,宁夏理工学院（民办）,01,金融学,非定向,3,443,5,4,15000,校本部,无
本科二批,H18,成都东软学院（民办）,01,计算机科学与技术,非定向,2,382,2,4,18000,校本部,无
本科二批,C90,武汉工程大学邮电与信息工程学院（独立学院）,01,机械设计制造及其自动化,非定向,2,353,3,4,16000,校本部,无
本科二批,A30,成都理工大学工程技术学院（独立学院）,01,核工程与核技术,非定向,4,344,4,4,13800,四川省乐山市,无
本科二批,D21,华东交通大学理工学院（独立学院）,01,金融学,非定向,2,456,3,4,16500,校本部,无
本科二批,A05,天津外国语大学滨海外事学院（独立学院）,01,英语,非定向,1,363,1,4,18000,校本部,无
本科二批,787,天津财经大学珠江学院（独立学院）,01,会计学（注册会计师）,非定向,5,408,6,4,15000,校本部,无
本科二批,E55,西南财经大学天府学院（独立学院）,01,会计学,非定向,4,464,4,4,17000,无,前3年在德阳校区，第4年在成都校区
本科二批,E55,西南财经大学天府学院（独立学院）,01,会计学,非定向,4,383,6,4,17000,无,前3年在德阳校区，第4年在成都校区
本科二批,958,西北师范大学,01,大数据管理与应用,非定向,1,483,1,4,4300,无,无
