品名,最低价,平均价,最高价,规格,单位,发布日期
火龙果,4.00,5.50,7.00,其他类,斤,2021-05-23
木瓜,3.00,3.25,3.50,其他类,斤,2021-05-23
柿饼,6.00,7.00,8.00,其他类,斤,2021-05-23
柠檬,3.50,3.75,4.00,其他类,斤,2021-05-23
黑枣,5.00,5.50,6.00,其他类,斤,2021-05-23
山楂,4.00,5.00,6.00,其他类,斤,2021-05-23
姑娘果（灯笼果）,10.00,15.00,20.00,其他类,斤,2021-05-23
鸭梨,1.20,1.35,1.50,梨类,斤,2021-05-23
雪花梨,1.40,1.50,1.60,梨类,斤,2021-05-23
品名,最低价,平均价,最高价,规格,单位,发布日期
皇冠梨（标箱）,2.50,2.75,3.00,梨类,斤,2021-05-23
丰水梨,2.50,2.75,3.00,梨类,斤,2021-05-23
酥梨,1.50,1.65,1.80,梨类,斤,2021-05-23
库尔勒香梨,3.00,3.75,4.50,梨类,斤,2021-05-23
红香酥梨系列,1.50,1.75,2.00,梨类,斤,2021-05-23
红啤梨,3.00,3.25,3.50,梨类,斤,2021-05-23
蜜梨,2.00,2.25,2.50,梨类,斤,2021-05-23
耙耙柑、丑橘,2.00,2.50,3.00,柑橘类,斤,2021-05-23
鄂、湘、川脐橙,1.50,2.10,2.70,柑橘类,斤,2021-05-23
血橙/二月红/中华红,2.00,2.50,3.00,柑橘类,斤,2021-05-23
沃柑,3.50,4.00,4.50,柑橘类,斤,2021-05-23
金桔,5.00,6.00,7.00,柑橘类,斤,2021-05-23
伦晚,1.80,2.40,3.00,柑橘类,斤,2021-05-23
油桃,4.00,6.50,9.00,桃李杏类,斤,2021-05-23
蟠桃,10.00,12.50,15.00,桃李杏类,斤,2021-05-23
水蜜桃,10.00,12.00,14.00,桃李杏类,斤,2021-05-23
春雪,8.00,9.00,10.00,桃李杏类,斤,2021-05-23
黄油桃,4.00,6.00,8.00,桃李杏类,斤,2021-05-23
黄毛桃,10.00,11.50,13.00,桃李杏类,斤,2021-05-23
猕猴桃（徐香翠香）,2.50,3.00,3.50,桃李杏类,斤,2021-05-23
品名,最低价,平均价,最高价,规格,单位,发布日期
猕猴桃（海沃德）,2.00,2.25,2.50,桃李杏类,斤,2021-05-23
李子,8.00,10.00,12.00,桃李杏类,斤,2021-05-23
金太阳,2.50,4.75,7.00,桃李杏类,斤,2021-05-23
丰源红,2.90,3.45,4.00,桃李杏类,斤,2021-05-23
凯特杏、白杏,10.00,10.50,11.00,桃李杏类,斤,2021-05-23
无籽小号-大号,1.80,1.90,2.00,西瓜类,斤,2021-05-23
麒麟、甜蜜蜜,2.40,2.60,2.80,西瓜类,斤,2021-05-23
黑美人,1.60,1.80,2.00,西瓜类,斤,2021-05-23
特小风,2.00,2.25,2.50,西瓜类,斤,2021-05-23
L600吊秧瓜,2.50,2.90,3.30,西瓜类,斤,2021-05-23
甜王,1.40,1.60,1.80,西瓜类,斤,2021-05-23
蜜童,3.00,3.25,3.50,西瓜类,斤,2021-05-23
墨童西瓜,3.00,3.25,3.50,西瓜类,斤,2021-05-23
绿宝（p2）,1.80,1.90,2.00,西瓜类,斤,2021-05-23
国产香蕉,2.40,2.80,3.20,香蕉类,斤,2021-05-23
南美、菲律宾香蕉,2.70,3.10,3.50,香蕉类,斤,2021-05-23
泰国香蕉（帝王蕉）,8.00,8.50,9.00,香蕉类,斤,2021-05-23
晓蜜25号,2.00,2.25,2.50,甜瓜类,斤,2021-05-23
黄金瓜／金蜜,2.20,2.40,2.60,甜瓜类,斤,2021-05-23
玉菇,2.00,2.25,2.50,甜瓜类,斤,2021-05-23
品名,最低价,平均价,最高价,规格,单位,发布日期
网纹,3.00,3.25,3.50,甜瓜类,斤,2021-05-23
长香玉,1.60,1.70,1.80,甜瓜类,斤,2021-05-23
西洲蜜,2.50,2.75,3.00,甜瓜类,斤,2021-05-23
24/白糖罐,2.50,2.75,3.00,甜瓜类,斤,2021-05-23
羊角蜜,2.30,4.15,6.00,甜瓜类,斤,2021-05-23
花蕾甜瓜,3.00,4.00,5.00,甜瓜类,斤,2021-05-23
久红瑞,2.00,2.15,2.30,甜瓜类,斤,2021-05-23
绿宝甜瓜,4.00,5.00,6.00,甜瓜类,斤,2021-05-23
博阳（系列）,2.50,3.50,4.50,甜瓜类,斤,2021-05-23
景甜,2.50,3.25,4.00,甜瓜类,斤,2021-05-23
208甜瓜,2.00,2.15,2.30,甜瓜类,斤,2021-05-23
富士（纸袋Φ70-84）,1.80,2.30,2.80,苹果类,斤,2021-05-23
富士（纸+膜袋）,1.60,1.80,2.00,苹果类,斤,2021-05-23
富士（纸袋Φ85以上）,2.50,3.00,3.50,苹果类,斤,2021-05-23
黄元帅,1.50,1.75,2.00,苹果类,斤,2021-05-23
花牛(Φ70-85),1.40,2.00,2.60,苹果类,斤,2021-05-23
新疆阿克苏（冰糖心）,3.00,3.50,4.00,苹果类,斤,2021-05-23
国光苹果,1.00,1.50,2.00,苹果类,斤,2021-05-23
辽宁寒富苹果,1.50,1.75,2.00,苹果类,斤,2021-05-23
巨峰葡萄,6.00,9.00,12.00,葡萄类,斤,2021-05-23
品名,最低价,平均价,最高价,规格,单位,发布日期
红提葡萄,8.00,10.00,12.00,葡萄类,斤,2021-05-23
