品名,最低价,平均价,最高价,规格,单位,发布日期
雪花梨,1.40,1.50,1.60,梨类,斤,2021-05-21
皇冠梨（标箱）,2.50,2.75,3.00,梨类,斤,2021-05-21
丰水梨,2.50,2.75,3.00,梨类,斤,2021-05-21
酥梨,1.50,1.65,1.80,梨类,斤,2021-05-21
库尔勒香梨,3.00,3.75,4.50,梨类,斤,2021-05-21
红香酥梨系列,1.50,1.75,2.00,梨类,斤,2021-05-21
红啤梨,3.00,3.25,3.50,梨类,斤,2021-05-21
蜜梨,2.00,2.25,2.50,梨类,斤,2021-05-21
品名,最低价,平均价,最高价,规格,单位,发布日期
耙耙柑、丑橘,2.00,2.50,3.00,柑橘类,斤,2021-05-21
鄂、湘、川脐橙,1.20,1.80,2.40,柑橘类,斤,2021-05-21
血橙/二月红/中华红,2.00,2.50,3.00,柑橘类,斤,2021-05-21
沃柑,3.50,4.00,4.50,柑橘类,斤,2021-05-21
金桔,5.00,6.00,7.00,柑橘类,斤,2021-05-21
伦晚,1.80,2.40,3.00,柑橘类,斤,2021-05-21
油桃,4.00,6.50,9.00,桃李杏类,斤,2021-05-21
蟠桃,10.00,12.50,15.00,桃李杏类,斤,2021-05-21
水蜜桃,10.00,12.00,14.00,桃李杏类,斤,2021-05-21
春雪,8.00,9.00,10.00,桃李杏类,斤,2021-05-21
黄油桃,4.00,6.00,8.00,桃李杏类,斤,2021-05-21
黄毛桃,10.00,11.50,13.00,桃李杏类,斤,2021-05-21
猕猴桃（徐香翠香）,2.50,3.00,3.50,桃李杏类,斤,2021-05-21
猕猴桃（海沃德）,2.00,2.25,2.50,桃李杏类,斤,2021-05-21
李子,8.00,10.00,12.00,桃李杏类,斤,2021-05-21
金太阳,2.50,4.75,7.00,桃李杏类,斤,2021-05-21
丰源红,2.90,3.45,4.00,桃李杏类,斤,2021-05-21
凯特杏、白杏,10.00,10.50,11.00,桃李杏类,斤,2021-05-21
无籽小号-大号,1.80,1.90,2.00,西瓜类,斤,2021-05-21
麒麟、甜蜜蜜,2.40,2.60,2.80,西瓜类,斤,2021-05-21
品名,最低价,平均价,最高价,规格,单位,发布日期
黑美人,1.60,1.80,2.00,西瓜类,斤,2021-05-21
特小风,2.00,2.20,2.40,西瓜类,斤,2021-05-21
L600吊秧瓜,2.50,2.90,3.30,西瓜类,斤,2021-05-21
甜王,1.40,1.65,1.90,西瓜类,斤,2021-05-21
蜜童,3.00,3.25,3.50,西瓜类,斤,2021-05-21
墨童西瓜,3.00,3.25,3.50,西瓜类,斤,2021-05-21
绿宝（p2）,1.80,1.90,2.00,西瓜类,斤,2021-05-21
国产香蕉,2.40,2.80,3.20,香蕉类,斤,2021-05-21
南美、菲律宾香蕉,2.70,3.10,3.50,香蕉类,斤,2021-05-21
泰国香蕉（帝王蕉）,7.00,7.50,8.00,香蕉类,斤,2021-05-21
晓蜜25号,2.00,2.25,2.50,甜瓜类,斤,2021-05-21
黄金瓜／金蜜,2.20,2.50,2.80,甜瓜类,斤,2021-05-21
玉菇,2.00,2.25,2.50,甜瓜类,斤,2021-05-21
网纹,3.00,3.25,3.50,甜瓜类,斤,2021-05-21
长香玉,1.60,1.70,1.80,甜瓜类,斤,2021-05-21
西洲蜜,2.50,2.75,3.00,甜瓜类,斤,2021-05-21
24/白糖罐,2.50,2.75,3.00,甜瓜类,斤,2021-05-21
羊角蜜,2.30,4.15,6.00,甜瓜类,斤,2021-05-21
花蕾甜瓜,3.00,4.00,5.00,甜瓜类,斤,2021-05-21
久红瑞,2.00,2.15,2.30,甜瓜类,斤,2021-05-21
品名,最低价,平均价,最高价,规格,单位,发布日期
绿宝甜瓜,4.00,5.00,6.00,甜瓜类,斤,2021-05-21
博阳（系列）,2.50,3.50,4.50,甜瓜类,斤,2021-05-21
景甜,2.50,3.25,4.00,甜瓜类,斤,2021-05-21
208甜瓜,2.00,2.15,2.30,甜瓜类,斤,2021-05-21
富士（纸袋Φ70-84）,1.80,2.20,2.60,苹果类,斤,2021-05-21
富士（纸+膜袋）,1.60,1.80,2.00,苹果类,斤,2021-05-21
富士（纸袋Φ85以上）,2.50,3.00,3.50,苹果类,斤,2021-05-21
黄元帅,1.50,1.75,2.00,苹果类,斤,2021-05-21
花牛(Φ70-85),1.40,2.00,2.60,苹果类,斤,2021-05-21
新疆阿克苏（冰糖心）,3.00,3.50,4.00,苹果类,斤,2021-05-21
国光苹果,1.00,1.50,2.00,苹果类,斤,2021-05-21
辽宁寒富苹果,1.50,1.75,2.00,苹果类,斤,2021-05-21
巨峰葡萄,6.00,9.00,12.00,葡萄类,斤,2021-05-21
红提葡萄,8.00,10.00,12.00,葡萄类,斤,2021-05-21
玫瑰香葡萄,10.00,12.00,14.00,葡萄类,斤,2021-05-21
克伦生,6.00,8.00,10.00,葡萄类,斤,2021-05-21
黑提葡萄、夏黑,10.00,10.50,11.00,葡萄类,斤,2021-05-21
蓝莓葡萄,8.00,9.00,10.00,葡萄类,斤,2021-05-21
白条猪（瘦）,11.00,11.00,11.00,猪肉类,斤,2021-05-21
白条猪（肥）,9.00,9.00,9.00,猪肉类,斤,2021-05-21
品名,最低价,平均价,最高价,规格,单位,发布日期
前臀尖（瘦）,10.00,10.50,11.00,猪肉类,斤,2021-05-21
前臀尖（肥）,9.00,9.50,10.00,猪肉类,斤,2021-05-21
后臀尖（瘦）,10.00,10.50,11.00,猪肉类,斤,2021-05-21
后臀尖（肥）,9.00,9.50,10.00,猪肉类,斤,2021-05-21
五花肉（瘦）,14.00,15.00,16.00,猪肉类,斤,2021-05-21
五花肉（肥）,12.00,13.00,14.00,猪肉类,斤,2021-05-21
纯通脊,12.00,13.00,14.00,猪肉类,斤,2021-05-21
通脊,10.00,11.00,12.00,猪肉类,斤,2021-05-21
纯瘦肉,11.00,11.50,12.00,猪肉类,斤,2021-05-21
前肘,11.00,11.50,12.00,猪肉类,斤,2021-05-21
后肘,9.50,10.25,11.00,猪肉类,斤,2021-05-21
猪尾巴,43.00,44.00,45.00,猪肉类,斤,2021-05-21
猪蹄,19.00,19.00,19.00,猪肉类,斤,2021-05-21
纯排骨,21.00,22.50,24.00,猪肉类,斤,2021-05-21
纯腔骨,9.00,10.50,12.00,猪肉类,斤,2021-05-21
腔排骨,15.00,16.00,17.00,猪肉类,斤,2021-05-21
棒骨,10.00,10.50,11.00,猪肉类,斤,2021-05-21
猪头,13.00,13.50,14.00,猪肉类,斤,2021-05-21
猪耳,26.00,26.00,26.00,猪肉类,斤,2021-05-21
猪肚,19.00,19.50,20.00,猪肉类,斤,2021-05-21
品名,最低价,平均价,最高价,规格,单位,发布日期
猪板油,12.00,12.50,13.00,猪肉类,斤,2021-05-21
肥膘肉,7.00,8.00,9.00,猪肉类,斤,2021-05-21
猪腰子,21.00,21.50,22.00,猪肉类,斤,2021-05-21
猪心,10.00,10.00,10.00,猪肉类,斤,2021-05-21
猪肝,9.50,9.75,10.00,猪肉类,斤,2021-05-21
猪皮,3.00,4.50,6.00,猪肉类,斤,2021-05-21
猪肠,22.00,22.00,22.00,猪肉类,斤,2021-05-21
整牛,34.25,34.25,34.25,牛肉类,斤,2021-05-21
牛前腱,37.00,37.00,37.00,牛肉类,斤,2021-05-21
牛后腱,37.00,37.00,37.00,牛肉类,斤,2021-05-21
牛前腿,35.00,35.00,35.00,牛肉类,斤,2021-05-21
牛后腿,35.00,35.00,35.00,牛肉类,斤,2021-05-21
牛柳（里脊）,37.00,37.50,38.00,牛肉类,斤,2021-05-21
精牛柳,41.00,42.00,43.00,牛肉类,斤,2021-05-21
牛腩,35.00,35.50,36.00,牛肉类,斤,2021-05-21
牛林,35.00,35.50,36.00,牛肉类,斤,2021-05-21
牛骨,4.50,4.75,5.00,牛肉类,斤,2021-05-21
牛板筋,35.00,35.00,35.00,牛肉类,斤,2021-05-21
牛尾,33.00,34.00,35.00,牛肉类,斤,2021-05-21
牛上脑,35.00,35.00,35.00,牛肉类,斤,2021-05-21
品名,最低价,平均价,最高价,规格,单位,发布日期
整羊,28.00,28.50,29.00,羊肉类,斤,2021-05-21
去骨羊前腿,40.00,40.50,41.00,羊肉类,斤,2021-05-21
去骨羊后腿,41.00,41.50,42.00,羊肉类,斤,2021-05-21
羊腰窝,40.00,40.00,40.00,羊肉类,斤,2021-05-21
羊肉片,40.00,41.50,43.00,羊肉类,斤,2021-05-21
羊腰子（挂油）,15.00,15.50,16.00,羊肉类,个,2021-05-21
羊蝎子,16.00,16.50,17.00,羊肉类,斤,2021-05-21
羊蝎子（精品）,30.00,30.50,31.00,羊肉类,斤,2021-05-21
羊排骨,30.00,30.00,30.00,羊肉类,斤,2021-05-21
羊尾巴油,9.00,9.00,9.00,羊肉类,斤,2021-05-21
羊小腿（羊棒）,24.00,24.50,25.00,羊肉类,斤,2021-05-21
羊上脑,40.00,40.00,40.00,羊肉类,斤,2021-05-21
羊骨头,10.00,10.00,10.00,羊肉类,斤,2021-05-21
羊腩,30.00,30.00,30.00,羊肉类,斤,2021-05-21
羊里脊,40.00,40.00,40.00,羊肉类,斤,2021-05-21
淘汰鸡（干净膛）,11.00,11.00,11.00,禽肉类,斤,2021-05-21
淘汰鸡（净膛）,10.00,10.00,10.00,禽肉类,斤,2021-05-21
仔鸡（净膛）,7.50,7.50,7.50,禽肉类,斤,2021-05-21
肉鸡,6.50,6.50,6.50,禽肉类,斤,2021-05-21
鸡胸,7.50,7.50,7.50,禽肉类,斤,2021-05-21
品名,最低价,平均价,最高价,规格,单位,发布日期
鸡翅,10.00,10.50,11.00,禽肉类,斤,2021-05-21
鸡翅中,21.00,21.00,21.00,禽肉类,斤,2021-05-21
鸡边腿,7.00,7.00,7.00,禽肉类,斤,2021-05-21
鸡排腿,7.50,7.50,7.50,禽肉类,斤,2021-05-21
鸡琵琶腿,7.50,7.75,8.00,禽肉类,斤,2021-05-21
鸡爪,16.00,16.00,16.00,禽肉类,斤,2021-05-21
鸡头,2.00,2.25,2.50,禽肉类,斤,2021-05-21
鸡架子,2.00,2.25,2.50,禽肉类,斤,2021-05-21
鸡翅根,9.00,9.00,9.00,禽肉类,斤,2021-05-21
白条乌鸡（净膛）,13.00,13.00,13.00,禽肉类,斤,2021-05-21
箱鸡蛋,190.00,195.00,200.00,蛋类,斤,2021-05-21
箱鸡蛋,4.32,4.43,4.55,蛋类,斤,2021-05-21
散鸡蛋,4.80,4.80,4.80,蛋类,斤,2021-05-21
生鸭蛋,5.50,6.00,6.50,蛋类,斤,2021-05-21
熟鸭蛋,6.00,6.75,7.50,蛋类,斤,2021-05-21
松花蛋,6.20,7.10,8.00,蛋类,斤,2021-05-21
鹅蛋,12.00,12.50,13.00,蛋类,斤,2021-05-21
鹌鹑蛋,6.00,6.50,7.00,蛋类,斤,2021-05-21
柴鸡蛋,4.80,7.40,10.00,蛋类,斤,2021-05-21
乌鸡蛋,7.50,8.00,8.50,蛋类,斤,2021-05-21
品名,最低价,平均价,最高价,规格,单位,发布日期
鸵鸟蛋,100.00,110.00,120.00,蛋类,斤,2021-05-21
鸽子蛋,2.50,2.55,2.60,蛋类,斤,2021-05-21
北豆腐（屉）,1.80,1.80,1.80,豆制品,斤,2021-05-21
南豆腐（屉）,2.00,2.00,2.00,豆制品,斤,2021-05-21
白玉北豆腐,4.00,4.00,4.00,豆制品,盒,2021-05-21
香香北豆腐,3.00,3.00,3.00,豆制品,盒,2021-05-21
白玉南豆腐,5.50,5.50,5.50,豆制品,盒,2021-05-21
豆腐丝,5.00,5.00,5.00,豆制品,斤,2021-05-21
精品豆腐丝,6.00,6.00,6.00,豆制品,袋,2021-05-21
豆腐皮,5.50,5.50,5.50,豆制品,斤,2021-05-21
豆腐干,4.50,4.50,4.50,豆制品,斤,2021-05-21
精品豆腐干,5.00,5.00,5.00,豆制品,袋,2021-05-21
豆腐泡,5.50,5.50,5.50,豆制品,斤,2021-05-21
精品豆腐泡,5.00,5.00,5.00,豆制品,袋,2021-05-21
白玉内酯豆腐,2.50,2.50,2.50,豆制品,盒,2021-05-21
香香内脂豆腐,1.50,1.50,1.50,豆制品,盒,2021-05-21
鲤鱼,12.00,12.50,13.00,750g-1000g,斤,2021-05-21
鲤鱼,12.00,12.50,13.00,>1000g,斤,2021-05-21
草鱼,14.00,14.50,15.00,750g-1000g,斤,2021-05-21
草鱼,14.00,14.50,15.00,>1000g,斤,2021-05-21
品名,最低价,平均价,最高价,规格,单位,发布日期
鲫鱼,15.00,15.00,15.00,200g-250g,斤,2021-05-21
鲫鱼,16.00,16.00,16.00,350g-400g,斤,2021-05-21
胖头鱼,15.00,15.00,15.00,>2000g,斤,2021-05-21
武昌鱼,12.00,12.00,12.00,700g左右,斤,2021-05-21
鲢鱼,5.00,5.50,6.00,1000-1500g,斤,2021-05-21
嘎鱼,24.00,24.50,25.00,<100g,斤,2021-05-21
淡水鲈鱼,24.00,24.00,24.00,活,斤,2021-05-21
美国蛇果,10.00,11.00,12.00,进口水果,斤,2021-05-20
智利红提,7.00,8.50,10.00,进口水果,斤,2021-05-20
澳洲黑提金手指,23.00,24.50,26.00,进口水果,斤,2021-05-20
美国新骑士,9.00,9.50,10.00,进口水果,斤,2021-05-20
比利时皮梨,6.00,6.50,7.00,进口水果,斤,2021-05-20
澳洲红李,12.00,10.00,14.00,进口水果,斤,2021-05-20
智利青提,18.00,19.00,20.00,进口水果,斤,2021-05-20
智利无籽红提,10.00,11.00,12.00,进口水果,斤,2021-05-20
泰国山竹,20.00,22.50,25.00,进口水果,斤,2021-05-20
泰国榴莲,16.00,17.00,18.00,进口水果,斤,2021-05-20
泰国毛丹,13.00,13.50,14.00,进口水果,斤,2021-05-20
越南火龙果,4.00,4.50,5.00,进口水果,斤,2021-05-20
泰国龙眼,9.00,10.00,11.00,进口水果,斤,2021-05-20
品名,最低价,平均价,最高价,规格,单位,发布日期
泰国椰青（个）,10.00,10.50,11.00,进口水果,斤,2021-05-20
新西兰猕猴桃,14.00,15.00,16.00,进口水果,斤,2021-05-20
比利时梨,10.00,11.00,12.00,进口水果,斤,2021-05-20
南非西柚,11.00,11.50,12.00,进口水果,斤,2021-05-20
秘鲁牛油果,20.00,22.50,25.00,进口水果,斤,2021-05-20
台湾杨桃,8.00,11.50,15.00,进口水果,斤,2021-05-20
台湾释迦,8.00,11.00,14.00,进口水果,斤,2021-05-20
美国柠檬,12.00,12.50,13.00,进口水果,斤,2021-05-20
越南百香果,12.00,12.50,13.00,进口水果,斤,2021-05-20
新西兰姬娜果,7.00,7.50,8.00,进口水果,斤,2021-05-20
树莓,16.00,17.00,18.00,进口水果,斤,2021-05-20
美国青苹果,12.00,13.00,14.00,进口水果,斤,2021-05-20
泰国菠萝蜜,6.00,6.25,6.50,进口水果,斤,2021-05-20
新西兰金果,22.00,23.50,25.00,进口水果,斤,2021-05-20
新西兰火参果个,8.00,8.25,8.50,进口水果,斤,2021-05-20
红心火龙果,5.50,5.75,6.00,进口水果,斤,2021-05-20
新西兰苹果,13.00,13.50,14.00,进口水果,斤,2021-05-20
黑莓,15.00,15.50,16.00,进口水果,斤,2021-05-20
菲律宾凤梨,2.40,2.70,3.00,进口水果,斤,2021-05-20
葡萄干,10.00,20.00,30.00,干果,斤,2021-05-20
品名,最低价,平均价,最高价,规格,单位,发布日期
杏核,7.00,9.50,12.00,干果,斤,2021-05-20
桂圆,9.00,12.00,15.00,干果,斤,2021-05-20
花生,6.00,6.75,7.50,干果,斤,2021-05-20
蚕豆,5.00,6.50,8.00,干果,斤,2021-05-20
生腰果,30.00,35.00,40.00,干果,斤,2021-05-20
青豆,5.00,5.50,6.00,干果,斤,2021-05-20
莲子,22.00,23.50,25.00,干果,斤,2021-05-20
情人梅,12.00,13.50,15.00,干果,斤,2021-05-20
核桃仁,18.00,21.50,25.00,干果,斤,2021-05-20
白薯干,7.00,10.00,13.00,干果,斤,2021-05-20
毛榛子,18.00,21.50,25.00,干果,斤,2021-05-20
杏肉,12.00,16.00,20.00,干果,斤,2021-05-20
话梅,8.00,9.00,10.00,干果,斤,2021-05-20
松子,50.00,55.00,60.00,干果,斤,2021-05-20
鲍鱼果,20.00,22.50,25.00,干果,斤,2021-05-20
香蕉干,11.00,12.50,14.00,干果,斤,2021-05-20
开心果,33.00,41.50,50.00,干果,斤,2021-05-20
美杏仁,25.00,30.00,35.00,干果,斤,2021-05-20
夏威夷果,24.00,29.50,35.00,干果,斤,2021-05-20
猕猴桃干,12.00,13.50,15.00,干果,斤,2021-05-20
品名,最低价,平均价,最高价,规格,单位,发布日期
薄皮核桃,10.00,11.00,12.00,干果,斤,2021-05-20
葵花籽,5.50,7.75,10.00,干果,斤,2021-05-20
黑瓜子,9.50,10.75,12.00,干果,斤,2021-05-20
白瓜子,15.00,15.50,16.00,干果,斤,2021-05-20
新疆干枣散装,6.50,13.25,20.00,干果,斤,2021-05-20
山楂干,12.00,13.50,15.00,干果,斤,2021-05-20
熟腰果,20.00,30.00,40.00,干果,斤,2021-05-20
巴旦木,20.00,27.50,35.00,干果,斤,2021-05-20
五香花生米,7.00,8.50,10.00,干果,斤,2021-05-20
金丝小枣,4.00,5.50,7.00,干果,斤,2021-05-20
空心脆枣,5.00,6.50,8.00,干果,斤,2021-05-20
无花果,16.00,22.00,28.00,干果,斤,2021-05-20
大榛,22.00,28.50,35.00,干果,斤,2021-05-20
胡桃,35.00,40.00,45.00,干果,斤,2021-05-20
国产杏仁,20.00,25.00,30.00,干果,斤,2021-05-20
普核桃,5.00,10.00,15.00,干果,斤,2021-05-20
长寿果,25.00,30.00,35.00,干果,斤,2021-05-20
绿茶南瓜子,15.00,16.50,18.00,干果,斤,2021-05-20
首农双河长粒香大米,2.90,2.95,3.00,大米类,斤,2021-05-20
首农双河秋田小町,2.60,2.65,2.70,大米类,斤,2021-05-20
品名,最低价,平均价,最高价,规格,单位,发布日期
黑土王秋田小町米,2.50,2.50,2.50,大米类,斤,2021-05-20
黑龙江长粒稻花香米,3.00,3.50,4.00,大米类,斤,2021-05-20
东北长粒香米,2.80,3.00,3.20,大米类,斤,2021-05-20
东北盘锦大米,2.47,2.51,2.55,大米类,斤,2021-05-20
贵环东北超级小町米,2.50,2.50,2.50,大米类,斤,2021-05-20
亮珠河稻花香米,3.60,3.95,4.30,大米类,斤,2021-05-20
冠誉大米,2.50,2.58,2.65,大米类,斤,2021-05-20
东北大米,2.50,2.60,2.70,大米类,斤,2021-05-20
贵环长粒香米,2.70,3.00,3.30,大米类,斤,2021-05-20
亮珠河珍珠米,2.20,2.25,2.30,大米类,斤,2021-05-20
古船大米（蓝）,2.40,2.45,2.50,大米类,斤,2021-05-20
北大荒精洁米,2.40,2.45,2.50,大米类,斤,2021-05-20
小雨点长粒香米,2.50,2.53,2.55,大米类,斤,2021-05-20
蔚鑫长粒香米,2.70,3.00,3.30,大米类,斤,2021-05-20
江苏机米,2.00,2.05,2.10,大米类,斤,2021-05-20
亮珠河长粒香米,2.80,2.90,3.00,大米类,斤,2021-05-20
金龙鱼东北大米,2.90,2.95,3.00,大米类,斤,2021-05-20
五梁红五常大米,2.90,3.05,3.20,大米类,斤,2021-05-20
五梁红稻花香,6.00,6.25,6.50,大米类,斤,2021-05-20
秋然香米,3.00,3.05,3.10,大米类,斤,2021-05-20
品名,最低价,平均价,最高价,规格,单位,发布日期
古船泰国香米,6.00,6.25,6.50,大米类,斤,2021-05-20
松花江大米,2.22,2.26,2.30,大米类,斤,2021-05-20
方正富硒米,2.90,3.00,3.10,大米类,斤,2021-05-20
古船富强粉5kg,1.88,1.90,1.92,面粉类,斤,2021-05-20
古船富强粉25kg,1.60,1.61,1.62,面粉类,斤,2021-05-20
古船标准粉25kg,1.52,1.54,1.56,面粉类,斤,2021-05-20
五得利富强粉5kg,1.88,1.91,1.94,面粉类,斤,2021-05-20
五得利富强粉25kg,1.58,1.60,1.62,面粉类,斤,2021-05-20
五得利特精粉25kg,1.70,1.72,1.74,面粉类,斤,2021-05-20
五得利标准粉25kg,1.52,1.54,1.56,面粉类,斤,2021-05-20
元宝特精粉25kg,1.70,1.75,1.80,面粉类,斤,2021-05-20
元宝富强粉25kg,1.58,1.60,1.62,面粉类,斤,2021-05-20
好面缘面粉25kg,1.70,1.75,1.80,面粉类,斤,2021-05-20
河北小米,5.50,6.50,7.50,杂粮类,斤,2021-05-20
南方江米,3.50,3.75,4.00,杂粮类,斤,2021-05-20
北方江米,3.50,3.75,4.00,杂粮类,斤,2021-05-20
黑香米,4.00,5.50,7.00,杂粮类,斤,2021-05-20
紫米,2.60,4.30,6.00,杂粮类,斤,2021-05-20
泰国糯米,4.50,5.00,5.50,杂粮类,斤,2021-05-20
薏仁米,6.00,6.50,7.00,杂粮类,斤,2021-05-20
品名,最低价,平均价,最高价,规格,单位,发布日期
高粱米,3.00,3.25,3.50,杂粮类,斤,2021-05-20
爆花玉米,3.00,3.25,3.50,杂粮类,斤,2021-05-20
小玉米,1.50,1.55,1.60,杂粮类,斤,2021-05-20
玉米面,1.80,1.90,2.00,杂粮类,斤,2021-05-20
玉米渣,2.00,2.10,2.20,杂粮类,斤,2021-05-20
小米面,4.00,5.00,6.00,杂粮类,斤,2021-05-20
江米面（水磨）,3.50,3.55,3.60,杂粮类,斤,2021-05-20
江米面,2.90,3.20,3.50,杂粮类,斤,2021-05-20
荞麦面,3.00,3.50,4.00,杂粮类,斤,2021-05-20
莜麦面,3.00,3.25,3.50,杂粮类,斤,2021-05-20
大麦,2.00,2.25,2.50,杂粮类,斤,2021-05-20
燕麦,3.00,3.00,3.00,杂粮类,斤,2021-05-20
黄豆,4.00,4.25,4.50,豆类,斤,2021-05-20
绿豆,4.50,5.00,5.50,豆类,斤,2021-05-20
红小豆,6.00,6.50,7.00,豆类,斤,2021-05-20
青豆,4.00,4.75,5.50,豆类,斤,2021-05-20
黑豆,4.00,5.25,6.50,豆类,斤,2021-05-20
白芸豆,8.00,8.50,9.00,豆类,斤,2021-05-20
红芸豆,5.50,6.00,6.50,豆类,斤,2021-05-20
猫眼豆,5.00,5.50,6.00,豆类,斤,2021-05-20
品名,最低价,平均价,最高价,规格,单位,发布日期
青豌豆,3.00,3.25,3.50,豆类,斤,2021-05-20
蚕豆,4.50,5.00,5.50,豆类,斤,2021-05-20
奶花豆,5.00,5.75,6.50,豆类,斤,2021-05-20
花生米,7.00,7.50,8.00,豆类,斤,2021-05-20
豇豆,5.00,5.25,5.50,豆类,斤,2021-05-20
白芝麻,9.00,9.50,10.00,豆类,斤,2021-05-20
黑芝麻,11.00,11.50,12.00,豆类,斤,2021-05-20
金龙鱼大豆油,48.00,48.50,49.00,5L/桶,斤,2021-05-20
金龙鱼调和油,58.00,59.00,60.00,5L/桶,斤,2021-05-20
金龙鱼非转基因玉米油,66.00,66.50,67.00,5L/桶,斤,2021-05-20
金龙鱼非转基因葵花籽油,69.00,69.50,70.00,5L/桶,斤,2021-05-20
绿宝大豆油,48.00,48.50,49.00,5L/桶,斤,2021-05-20
绿宝调和油,58.00,58.50,59.00,5L/桶,斤,2021-05-20
绿宝花生油,99.00,99.50,100.00,5L/桶,斤,2021-05-20
福临门大豆油,48.00,48.50,49.00,5L/桶,斤,2021-05-20
福临门花生油,98.00,99.00,100.00,5L/桶,斤,2021-05-20
福临门非转基因玉米油,66.00,66.50,67.00,5L/桶,斤,2021-05-20
福临门非转基因葵花籽油,69.00,69.50,70.00,5L/桶,斤,2021-05-20
元宝牌大豆油,97.00,97.50,98.00,10L/桶,斤,2021-05-20
古币香油,21.00,21.50,22.00,450g/瓶,斤,2021-05-20
品名,最低价,平均价,最高价,规格,单位,发布日期
五福大豆油,47.00,47.50,48.00,5L/桶,斤,2021-05-20
汇福大豆油,47.00,47.50,48.00,5L/桶,斤,2021-05-20
绿清香菜籽油,53.00,53.50,54.00,4.5L/桶,斤,2021-05-20
非转基因九三大豆油,58.00,59.00,60.00,5L/桶,斤,2021-05-20
鲁花花生油,147.00,148.50,150.00,5L/桶,斤,2021-05-20
多力葵花籽油,70.00,71.00,72.00,5L/桶,斤,2021-05-20
古船大豆油,45.00,45.50,46.00,4.5L/桶,斤,2021-05-20
古船非转基因大豆油,116.00,116.50,117.00,10L/桶,斤,2021-05-20
大豆油（所有大桶）,190.00,191.00,192.00,20L/桶,斤,2021-05-20
福临门（谷物）调和油,65.00,65.50,66.00,5L/桶,斤,2021-05-20
大白菜,0.30,0.35,0.40,储存\新,斤,2021-05-20
娃娃菜,0.50,0.55,0.60,大\小,斤,2021-05-20
小白菜,0.40,0.55,0.70,普通,斤,2021-05-20
芹菜,0.80,1.00,1.20,\冀,斤,2021-05-20
西芹,2.00,2.25,2.50,普通,斤,2021-05-20
菠菜,0.80,0.90,1.00,鲁\冀,斤,2021-05-20
莴笋,0.70,1.05,1.40,闽浙/鲁,斤,2021-05-20
团生菜,0.70,0.95,1.20,毛|净,斤,2021-05-20
圆白菜,0.35,0.45,0.55,\冀,斤,2021-05-20
紫甘蓝,1.20,1.35,1.50,闽云,斤,2021-05-20
品名,最低价,平均价,最高价,规格,单位,发布日期
散叶生菜,2.00,2.25,2.50,\京,斤,2021-05-20
油菜,0.80,1.00,1.20,鲁\京,斤,2021-05-20
香菜,1.00,1.10,1.20,鲁\冀,斤,2021-05-20
茴香,0.80,1.00,1.20,\冀,斤,2021-05-20
韭菜,0.80,0.90,1.00,普通,斤,2021-05-20
韭菜苔,2.80,3.00,3.20,普通,斤,2021-05-20
苦菊,1.00,1.25,1.50,辽,斤,2021-05-20
油麦菜,1.00,1.25,1.50,\京,斤,2021-05-20
散菜花,1.50,1.75,2.00,豫\苏,斤,2021-05-20
绿菜花,1.50,1.75,2.00,冀\ 苏陕,斤,2021-05-20
菜花,1.50,1.65,1.80,/云,斤,2021-05-20
绿豆芽,0.95,0.98,1.00,普通,斤,2021-05-20
黄豆芽,0.85,0.88,0.90,普通,斤,2021-05-20
紫菜苔,3.00,3.25,3.50,普通,斤,2021-05-20
番茄,1.00,1.35,1.70,川鲁蒙,斤,2021-05-20
番茄（精品）,1.70,1.90,2.10,\鲁新,斤,2021-05-20
樱西,4.00,4.50,5.00,小红,斤,2021-05-20
黄瓜,0.80,1.00,1.20,蒙辽袋\鲁,斤,2021-05-20
黄瓜(鲜干花),1.40,1.60,1.80,冀,斤,2021-05-20
小黄瓜,2.00,2.75,3.50,旱\荷兰,斤,2021-05-20
品名,最低价,平均价,最高价,规格,单位,发布日期
茄子,0.70,1.00,1.30,鲁\冀,斤,2021-05-20
长茄,0.80,1.00,1.20,云\冀,斤,2021-05-20
广茄,1.20,1.85,2.50,冀\一路,斤,2021-05-20
线茄,3.00,3.50,4.00,冀,斤,2021-05-20
吊冬瓜,0.55,0.65,0.75,桂,斤,2021-05-20
地冬瓜,0.45,0.48,0.50,普通,斤,2021-05-20
小毛冬瓜,0.60,0.90,1.20,冀\圆鲁新,斤,2021-05-20
架豆,2.00,2.75,3.50,普通,斤,2021-05-20
豆王,2.50,3.25,4.00,普通,斤,2021-05-20
扁豆,2.30,2.90,3.50,冀\鲁聊城,斤,2021-05-20
豇豆,3.00,3.50,4.00,桂\京冀,斤,2021-05-20
白不老,2.50,2.90,3.30,滇|鲁,斤,2021-05-20
锅里变架豆,1.50,1.75,2.00,普通,斤,2021-05-20
油豆,2.50,3.25,4.00,鲁,斤,2021-05-20
毛豆,2.50,3.00,3.50,普通,斤,2021-05-20
豌豆,1.00,1.30,1.60,普通,斤,2021-05-20
蚕豆,1.00,1.10,1.20,普通,斤,2021-05-20
荷兰豆,5.00,5.50,6.00,冀\云,斤,2021-05-20
玉米,1.30,1.45,1.60,\白,斤,2021-05-20
花生,4.50,5.00,5.50,广东\海南,斤,2021-05-20
品名,最低价,平均价,最高价,规格,单位,发布日期
苦瓜,1.80,1.90,2.00,鲁,斤,2021-05-20
